nome_planta
Blepharostoma epilithicum
Blephilia subnuda
Bletia altilamellata
Bletilla guizhouensis
Blighiopsis pseudostipularis
Blindia brachystegia
Blindiadelphus sibiricus
Blotiella bouxiniana
Blumea arabidea
Blumenbachia catharinensis
Blumeodendron endocarpum
Blutaparon wrightii
Blyxa javanica
Bobartia lilacina
Bocagea asymmetrica
Bocageopsis pleiosperma
Bocconia latisepala
Bocoa ratteri
Bocquillonia corneri
Boea cavernarum
Boeberastrum littoralis
Boechera austromontana
Boehmeria beyeri
Boeica clarkei
Boelckea beckii
Boerhavia alamasona
Boesenbergia albomaculata
Bogoria papuana
Boholia nematostylis
Bolanthus corinthiacus
Bolbitis andreisii
Bolbosaponaria fedtschenkoana
Boltonia apalachicolensis
Bolusia grandis
Bolusiella alinae
Bomarea albimontana
Bombax blancoanum
Bonamia alatisemina
Bonania elliptica
Bonatea lamprophylla
Bonellia verrucosa
Bongardia margalla
Bonnaya milindii
Bonnetia bolivarensis
Bonplandia linearis
Bonyunia antoniifolia
Boophone haemanthoides
Boopis breviscapa
Borago trabutii
Borassus heineanus
Bordasia bicornis
Borneacanthus angustifolius
Borneocola biru
Borneodendron aenigmaticum
Borneosicyos simplex
Bornmuellera kiyakii
Boronia adamsiana
Borthwickia trifoliata
Borya jabirabela
Borzicactus hutchisonii
Borzipostoa mirabilis
Boschia oblongifolia
Boscia fadeniorum
Bosea cypria
Bosistoa brassii
Bossera cristatocarpa
Bossiaea aquifolium
Boswellia ameero
Bothriochloa biloba
Bothriocline amphicoma
Bothriospermum hispidissimum
Botryarrhena venezuelensis
Botrychium alaskense
Bouchardatia cyanosperma
Bouchea linifolia
Bouea oppositifolia
Bougainvillea berberidifolia
Bourreria aquilana
Bousigonia mekongensis
Bouteloua annua
Bouvardia borhidiana
Bowiea volubilis
Bowlesia argenticaulis
Boyania ayangannae
Brachanthemum gobicum
Brachiolejeunea fernandeziana
Brachionidium alpestre
Brachionostylum pullei
Brachybotrys paridiformis
Brachycaulos simplicifolius
Brachychiton albidus
Brachychloa fragilis
Brachycorythis basifoliata
Brachydontium curvisetum
Brachyglottis elaeagnifolia
Brachylaena merana
Brachyloma delbi
Brachylophon anastomosans
Brachymenium angustatum
Brachynema ramiflorum
Brachyotum andreanum
Brachypodium ambrosii
Brachypterum nitidum
Brachyscias verecundus
Brachyscome ascendens
Brachystegia appendiculata
Brachystele bicrinita
Brachysteleum convolutifolium
Brachystemma calycinum
Brachystephanus calostachyus
Brachytheciella stolonifera
Brachythecium amurense
Brachythrix lugarensis
Brachytome hainanensis
Brackenridgea forbesii
